"Part";"Value";"Device";"Package";"Description";"DATASHEET_LINK";"LED_COLOR";"MANUFACTURER";"MANUFACTURER_PN";"PACKAGE";"SUPPLIER";"SUPPLIER_PN";
"R31";"10mΩ";"VISHAY_DALE-LVR03R0100FE70";"0514/15";"Precision 0.1% tolerance current-sensing resistor. Axial-lead, 10mΩ";"http://www.vishay.com/docs/30206/lvr.pdf";"";"Vishay Dale";"LVR03R0100FE70";"14mm X 5.2mm axial";"Digi-Key";"LVRB-.01RCT-ND";
"R32";"10mΩ";"VISHAY_DALE-LVR03R0100FE70";"0514/15";"Precision 0.1% tolerance current-sensing resistor. Axial-lead, 10mΩ";"http://www.vishay.com/docs/30206/lvr.pdf";"";"Vishay Dale";"LVR03R0100FE70";"14mm X 5.2mm axial";"Digi-Key";"LVRB-.01RCT-ND";
"R33";"56Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R34";"3.9Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R35";"56Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R36";"3.9Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R37";"680Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R38";"680Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R39";"470Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R40";"1kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R41";"2.7kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R64";"220Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R65";"390Ω";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R66";"68kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R67";"3.9kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R68";"39kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R69";"82kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R70";"82kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R71";"120kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R72";"56kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R73";"180kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R74";"120kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R75";"68kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
"R76";"3.9kΩ";"RES-JKE";"0207/7";"Axial-lead, through hole,1/4W, 1% tolerance, general-purpose resistors";"http://www.joeknowselectronics.com/index.php/products/component-kits/metal-film-resistor-kit.html";"";"Joe Knows Electronics";"n/a";"0207/7";"Joe Knows Electronics";"n/a";
