"Part";"Value";"Device";"Package";"Description";"DATASHEET_LINK";"LED_COLOR";"MANUFACTURER";"MANUFACTURER_PN";"PACKAGE";"SUPPLIER";"SUPPLIER_PN";
"TP49";"FUEL_LED";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP50";"REV_LIMIT_LED";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"TP51";"KILL_SW_LED";"TEST-POINT";"TP-P1-20";"Thru-hole test point";"";"";"";"";"";"";"";
"U1";"TXS0104E";"TXS0104ED";"SOIC127P600X175-14N";"4-BIT BIDIRECTIONAL VOLTAGE-LEVEL TRANSLATOR  FOR OPEN-DRAIN AND PUSH-PULL APPLICATIONS";"http://www.ti.com/lit/ds/symlink/txs0104e.pdf";"";"Texas Instruments";"TXS0104EDR";"SOIC-14";"Digi-Key";"296-20696-1-ND";
"U2";"LM358";"LM358";"SOP08";"Dual single-supply, general purpose op-amps";"http://www.ti.com/lit/ds/symlink/lm158-n.pdf";"";"Texas Instruments";"LM3358";"8-SOIC";"Digi-Key";"296-1014-2-ND";
"U5";"LM358";"LM358";"SOP08";"Dual single-supply, general purpose op-amps";"http://www.ti.com/lit/ds/symlink/lm158-n.pdf";"";"Texas Instruments";"LM3358";"8-SOIC";"Digi-Key";"296-1014-2-ND";
"U7";"LM358";"LM358";"SOP08";"Dual single-supply, general purpose op-amps";"http://www.ti.com/lit/ds/symlink/lm158-n.pdf";"";"Texas Instruments";"LM3358";"8-SOIC";"Digi-Key";"296-1014-2-ND";
"U8";"LM358";"LM358";"SOP08";"Dual single-supply, general purpose op-amps";"http://www.ti.com/lit/ds/symlink/lm158-n.pdf";"";"Texas Instruments";"LM3358";"8-SOIC";"Digi-Key";"296-1014-2-ND";
"U9";"LM358";"LM358";"SOP08";"Dual single-supply, general purpose op-amps";"http://www.ti.com/lit/ds/symlink/lm158-n.pdf";"";"Texas Instruments";"LM3358";"8-SOIC";"Digi-Key";"296-1014-2-ND";
"U10";"MCP2551-I/SN";"MCP2551-I/SN";"SOIC127P600X175-8N";"High-Speed CAN Transceiver";"http://ww1.microchip.com/downloads/en/DeviceDoc/21667f.pdf";"";"Microchip";"MCP2551-I/SN";"SOIC-8";"Digi-Key";"MCP2551-I/SN-ND";
